Stkcd,Trddt,INST,Trdmnt,Year,Month
27,2013-06-30,77.146103,2013-06,2013,6
27,2013-09-30,84.030998,2013-09,2013,9
27,2013-12-31,74.374802,2013-12,2013,12
27,2014-03-31,73.660004,2014-03,2014,3
27,2014-06-30,74.550201,2014-06,2014,6
27,2014-09-30,83.398697,2014-09,2014,9
27,2014-12-31,84.213799,2014-12,2014,12
27,2015-03-31,73.969101,2015-03,2015,3
27,2015-06-30,73.853104,2015-06,2015,6
27,2015-09-30,86.981201,2015-09,2015,9
27,2015-12-31,77.150299,2015-12,2015,12
27,2016-03-31,76.921997,2016-03,2016,3
27,2016-06-30,77.366402,2016-06,2016,6
27,2016-09-30,76.981201,2016-09,2016,9
27,2016-12-31,77.525002,2016-12,2016,12
27,2017-03-31,102.0764,2017-03,2017,3
27,2017-06-30,77.265099,2017-06,2017,6
27,2017-09-30,76.861397,2017-09,2017,9
27,2017-12-31,77.046303,2017-12,2017,12
27,2018-03-31,76.660004,2018-03,2018,3
27,2018-06-30,77.014603,2018-06,2018,6
27,2018-09-30,76.950798,2018-09,2018,9
27,2018-12-31,78.323601,2018-12,2018,12
27,2019-03-31,79.139999,2019-03,2019,3
