"Symbol","EndDate","InsInvestorProp"
"000021","2014-06-30","64.8805"
"000021","2014-09-30","62.5760"
"000021","2014-12-31","59.3744"
"000021","2015-03-31","55.0100"
"000021","2015-06-30","54.9875"
"000021","2015-09-30","56.8100"
"000021","2015-12-31","58.0513"
"000021","2016-03-31","56.2274"
"000021","2016-06-30","60.6862"
"000021","2016-09-30","56.9988"
"000021","2016-12-31","56.2813"
"000021","2017-03-31","55.0800"
"000021","2017-06-30","53.7530"
"000021","2017-09-30","53.1275"
"000021","2017-12-31","55.3699"
"000021","2018-03-31","52.7532"
"000021","2018-06-30","53.4036"
"000021","2018-09-30","52.6600"
"000021","2018-12-31","55.7086"
"000021","2019-03-31","54.9031"
"000021","2019-06-30","54.2181"
"000021","2019-09-30","53.9500"
"000021","2019-12-31","53.5836"
"000022","2009-03-31","25.4010"
"000022","2009-06-30","134.7820"
"000022","2009-09-30","77.0048"
"000022","2009-12-31","135.6102"
"000022","2010-03-31","77.7335"
"000022","2010-06-30","135.9107"
"000022","2010-09-30","77.8058"
"000022","2010-12-31","76.5590"
"000022","2011-03-31","75.8690"
"000022","2011-06-30","133.6307"
"000022","2011-09-30","76.3290"
"000022","2011-12-31","76.5661"
"000022","2012-03-31","76.7910"
"000022","2012-06-30","77.9361"
"000022","2012-09-30","77.0300"
"000022","2012-12-31","77.4174"
"000022","2013-03-31","76.6200"
"000022","2013-06-30","76.5273"
"000022","2013-09-30","76.5300"
"000022","2013-12-31","76.7889"
"000022","2014-03-31","76.2400"
"000022","2014-06-30","76.2315"
"000022","2014-09-30","76.3300"
"000022","2014-12-31","76.3441"
"000022","2015-03-31","76.3900"
